ResponseId,Country,DevType,wexp_bin,salary_filtered,wexp_order,uses_ai
1,United States of America,,,,,1.0
2,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",15-20,,5.0,0.0
3,United Kingdom of Great Britain and Northern Ireland,Developer Experience,,,,0.0
4,Canada,"Developer, full-stack",,,,1.0
5,Norway,"Developer, full-stack",,,,0.0
6,United States of America,Student,,,,1.0
7,United States of America,Academic researcher,,,,0.0
8,Uzbekistan,Student,,,,1.0
9,United Kingdom of Great Britain and Northern Ireland,Academic researcher,,,,0.0
10,Serbia,"Developer, full-stack",,,,1.0
11,United States of America,Project manager,15-20,,5.0,1.0
12,Poland,Developer Advocate,,,,0.0
13,United States of America,"Developer, back-end",10-15,,4.0,0.0
14,Philippines,Other (please specify):,,,,1.0
15,Bulgaria,,,,,0.0
16,Switzerland,"Developer, full-stack",20-30,,6.0,0.0
17,Canada,Student,,,,1.0
18,India,"Developer, front-end",,,,0.0
19,Germany,"Developer, full-stack",10-15,,4.0,1.0
20,United Kingdom of Great Britain and Northern Ireland,Database administrator,,,,0.0
21,Germany,Other (please specify):,10-15,,4.0,1.0
22,Germany,"Developer, full-stack",,,,1.0
23,Ireland,"Developer, back-end",15-20,,5.0,1.0
24,United States of America,"Developer, desktop or enterprise applications",,,,0.0
25,Italy,"Developer, full-stack",15-20,,5.0,0.0
26,United States of America,"Developer, full-stack",,,,0.0
27,Italy,"Developer, full-stack",15-20,,5.0,1.0
28,Ukraine,Cloud infrastructure engineer,5-10,,3.0,1.0
29,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",,,,0.0
30,Philippines,"Developer, full-stack",,,,1.0
31,Australia,"Developer, back-end",,,,1.0
32,United States of America,Other (please specify):,5-10,,3.0,0.0
33,Brazil,"Developer, back-end",,,,1.0
34,Japan,"Developer, back-end",15-20,,5.0,0.0
35,United States of America,Student,,,,1.0
36,United States of America,"Developer, full-stack",5-10,,3.0,0.0
37,Austria,Student,,,,0.0
38,"Iran, Islamic Republic of...",Data scientist or machine learning specialist,,,,1.0
39,France,"Developer, full-stack",,,,0.0
40,Saudi Arabia,"Developer, full-stack",,,,1.0
41,Brazil,"Developer, full-stack",5-10,,3.0,1.0
42,Italy,Research & Development role,15-20,,5.0,1.0
43,Ireland,"Developer, full-stack",,,,1.0
44,Austria,Academic researcher,10-15,,4.0,0.0
45,Romania,"Developer, full-stack",3-5,,2.0,1.0
46,United Kingdom of Great Britain and Northern Ireland,,5-10,,3.0,1.0
47,United States of America,"Developer, embedded applications or devices",15-20,,5.0,1.0
48,United States of America,System administrator,,,,0.0
49,Germany,"Developer, desktop or enterprise applications",,,,0.0
50,Germany,"Developer, back-end",3-5,,2.0,1.0
51,United Kingdom of Great Britain and Northern Ireland,Student,,,,1.0
52,United States of America,"Developer, full-stack",,,,1.0
53,Germany,"Developer, full-stack",,,,1.0
54,Bulgaria,"Developer, full-stack",5-10,,3.0,0.0
55,United Kingdom of Great Britain and Northern Ireland,"Developer, back-end",5-10,,3.0,0.0
56,Germany,Other (please specify):,,,,0.0
57,Italy,"Developer, full-stack",,,,0.0
58,Turkey,"Developer, back-end",1-3,,1.0,0.0
59,India,Student,,,,1.0
60,Ireland,"Developer, back-end",,,,0.0
61,Nepal,Other (please specify):,,,,1.0
62,Switzerland,"Developer, back-end",20-30,,6.0,0.0
63,Algeria,Student,,,,1.0
64,Bulgaria,DevOps specialist,5-10,,3.0,0.0
65,Sweden,Engineering manager,20-30,,6.0,0.0
66,"Iran, Islamic Republic of...",Student,,,,0.0
67,Switzerland,Student,,,,1.0
68,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",,,,1.0
69,Netherlands,"Developer, full-stack",,,,1.0
70,Croatia,"Developer, full-stack",10-15,,4.0,1.0
71,Australia,,,,,0.0
72,Sweden,"Developer, full-stack",30+,,7.0,0.0
73,Pakistan,Data scientist or machine learning specialist,3-5,7322.0,2.0,1.0
74,Czech Republic,"Developer, desktop or enterprise applications",1-3,,1.0,0.0
75,Switzerland,"Developer, full-stack",30+,,7.0,0.0
76,India,Designer,,,,0.0
77,United States of America,Database administrator,20-30,,6.0,0.0
78,Republic of North Macedonia,"Developer, full-stack",5-10,,3.0,1.0
79,United States of America,"Developer, full-stack",20-30,,6.0,0.0
80,United States of America,Engineering manager,20-30,,6.0,1.0
81,Germany,"Developer, desktop or enterprise applications",10-15,,4.0,0.0
82,Finland,"Developer, full-stack",10-15,,4.0,1.0
83,Slovakia,DevOps specialist,30+,,7.0,0.0
84,Poland,"Developer, back-end",5-10,,3.0,0.0
85,United States of America,"Developer, desktop or enterprise applications",,,,0.0
86,United States of America,Other (please specify):,,,,0.0
87,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",20-30,,6.0,1.0
88,Germany,"Developer, full-stack",,,,0.0
89,United Kingdom of Great Britain and Northern Ireland,"Developer, full-stack",,,,0.0
90,India,Security professional,3-5,,2.0,0.0
91,Russian Federation,Designer,,,,0.0
92,Poland,Student,,,,1.0
93,United States of America,"Senior Executive (C-Suite, VP, etc.)",30+,,7.0,1.0
94,Ireland,"Developer, full-stack",3-5,,2.0,0.0
95,"Iran, Islamic Republic of...","Developer, full-stack",,,,1.0
96,Greece,"Developer, full-stack",5-10,,3.0,1.0
97,India,"Developer, mobile",5-10,,3.0,1.0
98,United States of America,"Developer, full-stack",,,,0.0
99,Italy,"Developer, back-end",1-3,,1.0,1.0
100,Israel,"Developer, game or graphics",,,,0.0
101,United Kingdom of Great Britain and Northern Ireland,"Developer, back-end",10-15,,4.0,1.0
102,Poland,"Developer, full-stack",5-10,,3.0,1.0
103,Italy,"Developer, back-end",5-10,,3.0,1.0
104,France,Other (please specify):,,,,1.0
105,Germany,"Developer, back-end",,,,1.0
106,India,"Developer, back-end",1-3,,1.0,1.0
107,Italy,Student,,,,0.0
108,United States of America,"Developer, desktop or enterprise applications",5-10,,3.0,1.0
109,Belgium,"Developer, full-stack",,,,0.0
110,Australia,Student,,,,1.0
111,Greece,"Developer, mobile",5-10,,3.0,1.0
112,United Kingdom of Great Britain and Northern Ireland,Student,,,,1.0
113,Ireland,"Developer, front-end",10-15,,4.0,1.0
114,United States of America,Academic researcher,,,,0.0
115,Turkey,"Developer, front-end",,,,0.0
116,United States of America,"Developer, desktop or enterprise applications",10-15,,4.0,1.0
117,Germany,Research & Development role,20-30,,6.0,0.0
118,Austria,Data scientist or machine learning specialist,5-10,,3.0,1.0
119,Sweden,"Developer, back-end",,,,1.0
120,Mexico,"Developer, full-stack",,,,0.0
121,United Republic of Tanzania,Data or business analyst,5-10,,3.0,1.0
122,Ireland,Other (please specify):,30+,,7.0,1.0
123,United States of America,Student,,,,0.0
124,Germany,"Developer, back-end",5-10,,3.0,0.0
125,Japan,Engineering manager,10-15,,4.0,1.0
126,Austria,"Developer, front-end",,,,1.0
127,India,"Developer, back-end",5-10,,3.0,1.0
